ID,Item,FailureMode,Effect,Severity,Occurrence,Detection,RPN,ActionPriority,File,Line
FMEA-1503,line_threshold,Buffer overflow in line_threshold(),Incorrect system behaviour or safety-function failure originating in line_threshold (function),8,4,5,160,high,src/coverage/coverage.cpp,32
FMEA-279,render_text,Buffer overflow in render_text(),Incorrect system behaviour or safety-function failure originating in render_text (function),8,4,5,160,high,src/vuln/vuln.cpp,126
FMEA-1287,is_required,Buffer overflow in is_required(),Incorrect system behaviour or safety-function failure originating in is_required (function),8,4,5,160,high,src/iec61508/iec61508.cpp,59
FMEA-1099,shadow_visitor,Buffer overflow in shadow_visitor(),Incorrect system behaviour or safety-function failure originating in shadow_visitor (function),8,4,5,160,high,src/ast/ast.cpp,74
FMEA-846,CompReport,State corruption in CompReport(),Incorrect system behaviour or safety-function failure originating in CompReport (class),8,4,5,160,high,src/comp/comp.hpp,25
FMEA-275,write_json,Buffer overflow in write_json(),Incorrect system behaviour or safety-function failure originating in write_json (function),8,4,5,160,high,src/vuln/vuln.cpp,106
FMEA-966,Completeness,State corruption in Completeness(),Incorrect system behaviour or safety-function failure originating in Completeness (class),8,4,5,160,high,src/safety_case/safety_case.hpp,36
FMEA-1507,branch_threshold,Buffer overflow in branch_threshold(),Incorrect system behaviour or safety-function failure originating in branch_threshold (function),8,4,5,160,high,src/coverage/coverage.cpp,40
FMEA-643,build,Buffer overflow in build(),Incorrect system behaviour or safety-function failure originating in build (function),8,4,5,160,high,src/sci/sci.cpp,50
FMEA-271,scan,Buffer overflow in scan(),Incorrect system behaviour or safety-function failure originating in scan (function),8,4,5,160,high,src/vuln/vuln.cpp,83
FMEA-647,to_json,Buffer overflow in to_json(),Incorrect system behaviour or safety-function failure originating in to_json (function),8,4,5,160,high,src/sci/sci.cpp,77
FMEA-1394,Rule,State corruption in Rule(),Incorrect system behaviour or safety-function failure originating in Rule (class),8,4,5,160,high,src/engine/engine.hpp,25
FMEA-535,contains_ci,Buffer overflow in contains_ci(),Incorrect system behaviour or safety-function failure originating in contains_ci (function),8,4,5,160,high,src/quality/quality.cpp,112
FMEA-474,Objective,State corruption in Objective(),Incorrect system behaviour or safety-function failure originating in Objective (class),8,4,5,160,high,src/do178/do178.hpp,17
FMEA-1135,add_report_envelope,Buffer overflow in add_report_envelope(),Incorrect system behaviour or safety-function failure originating in add_report_envelope (function),8,4,5,160,high,src/report/report.cpp,46
FMEA-1351,make_fusa004,Buffer overflow in make_fusa004(),Incorrect system behaviour or safety-function failure originating in make_fusa004 (function),8,4,5,160,high,src/engine/rules.hpp,15
FMEA-471,parse_dal,Buffer overflow in parse_dal(),Incorrect system behaviour or safety-function failure originating in parse_dal (function),8,4,5,160,high,src/do178/do178.hpp,12
FMEA-1387,make_verify002,Buffer overflow in make_verify002(),Incorrect system behaviour or safety-function failure originating in make_verify002 (function),8,4,5,160,high,src/engine/rules.hpp,34
FMEA-883,parse_level,Buffer overflow in parse_level(),Incorrect system behaviour or safety-function failure originating in parse_level (function),8,4,5,160,high,src/slsa/slsa.hpp,12
FMEA-539,write_canonical,Buffer overflow in write_canonical(),Incorrect system behaviour or safety-function failure originating in write_canonical (function),8,4,5,160,high,src/quality/quality.cpp,144
FMEA-467,render_text,Buffer overflow in render_text(),Incorrect system behaviour or safety-function failure originating in render_text (function),8,4,5,160,high,src/unece/unece.hpp,42
FMEA-1390,RuleInfo,State corruption in RuleInfo(),Incorrect system behaviour or safety-function failure originating in RuleInfo (class),8,4,5,160,high,src/engine/engine.hpp,14
FMEA-1146,DataEdge,State corruption in DataEdge(),Incorrect system behaviour or safety-function failure originating in DataEdge (class),8,4,5,160,high,src/coupling/coupling.hpp,11
FMEA-463,write_json,Buffer overflow in write_json(),Incorrect system behaviour or safety-function failure originating in write_json (function),8,4,5,160,high,src/unece/unece.hpp,41
FMEA-903,parse_status,Buffer overflow in parse_status(),Incorrect system behaviour or safety-function failure originating in parse_status (function),8,4,5,160,high,src/pr/pr.cpp,29
FMEA-543,sha256_prefixed,Buffer overflow in sha256_prefixed(),Incorrect system behaviour or safety-function failure originating in sha256_prefixed (function),8,4,5,160,high,src/quality/quality.cpp,204
FMEA-1383,make_hara004,Buffer overflow in make_hara004(),Incorrect system behaviour or safety-function failure originating in make_hara004 (function),8,4,5,160,high,src/engine/rules.hpp,32
FMEA-458,Report,State corruption in Report(),Incorrect system behaviour or safety-function failure originating in Report (class),8,4,5,160,high,src/unece/unece.hpp,26
FMEA-907,parse_severity,Buffer overflow in parse_severity(),Incorrect system behaviour or safety-function failure originating in parse_severity (function),8,4,5,160,high,src/pr/pr.cpp,34
FMEA-1347,make_fusa003,Buffer overflow in make_fusa003(),Incorrect system behaviour or safety-function failure originating in make_fusa003 (function),8,4,5,160,high,src/engine/rules.hpp,13
FMEA-454,Threat,State corruption in Threat(),Incorrect system behaviour or safety-function failure originating in Threat (class),8,4,5,160,high,src/unece/unece.hpp,14
FMEA-1398,Engine,State corruption in Engine(),Incorrect system behaviour or safety-function failure originating in Engine (class),8,4,5,160,high,src/engine/engine.hpp,30
FMEA-547,sha256_prefixed,Buffer overflow in sha256_prefixed(),Incorrect system behaviour or safety-function failure originating in sha256_prefixed (function),8,4,5,160,high,src/quality/quality.cpp,238
FMEA-451,render_text,Buffer overflow in render_text(),Incorrect system behaviour or safety-function failure originating in render_text (function),8,4,5,160,high,src/unece/unece.cpp,185
